kind,role,stat,alpha,tau,importance,baseline_alpha,baseline_tau,baseline_importance,alpha_vs_role_mean,tau_vs_role_mean,importance_vs_role_mean,alpha_role_range,tau_role_range,importance_role_range
individual,top,level,0.1975419521331787,0.4636262357234955,0.42608019709587097,0.20572881400585175,0.4567846357822418,0.4503847062587738,-0.009456545114517212,0.011765807867050171,-0.04995092749595642,0.11120139062404633,0.18164291977882385,0.42754507064819336
individual,top,kills,0.6652179956436157,0.5990973711013794,1.1103670597076416,0.6791264414787292,0.6058707237243652,1.1209098100662231,0.017226994037628174,0.005588233470916748,-0.04887819290161133,0.19134140014648438,0.38119903206825256,0.9766009449958801
individual,top,deaths,-0.19136373698711395,0.6741256713867188,0.28386953473091125,-0.19701534509658813,0.6276264786720276,0.31390541791915894,-0.002293020486831665,0.03109586238861084,-0.012569576501846313,0.1176193356513977,0.10331004858016968,0.2267671674489975
individual,top,assists,-0.16554003953933716,0.5542643666267395,0.29866620898246765,-0.17521139979362488,0.4824258089065552,0.3631882667541504,0.0014608055353164673,0.08205920457839966,-0.04324987530708313,0.2113242745399475,0.20318493247032166,0.36728912591934204
individual,top,cs,0.43167150020599365,0.38395220041275024,1.1242845058441162,0.44290801882743835,0.5805552005767822,0.7629042267799377,0.02374771237373352,-0.13344556093215942,0.1794794797897339,0.22172686457633972,0.6847808361053467,0.8885394334793091
individual,top,golds,0.5377679467201233,0.05331890657544136,10.085877418518066,0.5224908590316772,0.06034713238477707,8.658089637756348,-0.003860771656036377,-0.00018108263611793518,-0.036993980407714844,0.06055647134780884,0.0004692003130912781,1.0814857482910156
individual,top,vision_score,0.08097629994153976,0.6061381101608276,0.13359381258487701,0.07551779597997665,0.6135889291763306,0.12307555228471756,-0.00019209831953048706,-0.0067337751388549805,-0.0013524144887924194,0.06626669317483902,0.25866320729255676,0.10237164795398712
individual,top,solo_kills,0.2505394518375397,0.9151883125305176,0.27375727891921997,0.1965876668691635,0.9475368857383728,0.2074723094701767,0.04173913598060608,-0.04024630784988403,0.05431082844734192,0.10294423997402191,0.07159298658370972,0.12418492138385773
individual,top,double_kills,0.39597609639167786,0.8850440979003906,0.4474083185195923,0.35255396366119385,0.8995434641838074,0.3919254243373871,0.050069570541381836,-0.0193517804145813,0.05513405799865723,0.34233358502388,0.18242961168289185,0.4410766363143921
individual,top,triple_kills,0.23602858185768127,0.9680189490318298,0.24382640421390533,0.24492736160755157,0.8606564402580261,0.2845820486545563,0.0385017991065979,0.1925409436225891,0.019555941224098206,0.33945176005363464,0.9235365390777588,0.29668498039245605
individual,top,quadra_kills,0.09448692947626114,0.9978951215744019,0.09468623250722885,0.13025642931461334,0.895553469657898,0.1454479694366455,0.004886813461780548,0.19961285591125488,0.0021293386816978455,0.2047378420829773,0.944420337677002,0.20757663249969482
individual,top,penta_kills,0.04614344984292984,0.9958668351173401,0.04633495956659317,0.08377568423748016,0.9032468199729919,0.09274949133396149,-0.02080683410167694,0.20143073797225952,-0.03035997599363327,0.1289210468530655,0.9422874450683594,0.09231463074684143
individual,top,gd_at_15,0.34685182571411133,0.8988385200500488,0.385888934135437,0.369915634393692,0.8703050017356873,0.4250413775444031,-0.020582854747772217,0.024485290050506592,-0.03571218252182007,0.07083705067634583,0.06044721603393555,0.1026308536529541
individual,top,csd_at_15,0.30943283438682556,0.9442358016967773,0.3277071714401245,0.2856864035129547,0.9723870158195496,0.2937990725040436,0.040752559900283813,-0.011130809783935547,0.042807936668395996,0.26302751898765564,0.10118061304092407,0.29584258794784546
individual,top,xpd_at_15,0.21757298707962036,0.9340499043464661,0.2329350709915161,0.23523777723312378,0.9487665295600891,0.24794062972068787,0.006648510694503784,-0.006680488586425781,0.007077902555465698,0.15269358456134796,0.07572847604751587,0.18008176982402802
individual,top,objectives_stolen,-0.02203216776251793,0.9827753901481628,0.022418314591050148,-0.028032027184963226,1.0011276006698608,0.028000453487038612,0.004846394062042236,-0.008340299129486084,-0.006718665361404419,0.06247731298208237,0.01271122694015503,0.05263450741767883
individual,top,damage_dealt_to_buildings,0.4048324227333069,0.7510547637939453,0.5390185117721558,0.3858943283557892,0.7611752152442932,0.5069717168807983,0.04622924327850342,0.009781062602996826,0.03691840171813965,0.18824468553066254,0.243710458278656,0.4218105673789978
individual,top,total_heal,0.16640722751617432,0.886760950088501,0.18765737116336823,0.16131868958473206,0.8899275064468384,0.1812717169523239,0.015500873327255249,0.017423272132873535,0.010980650782585144,0.1627107858657837,0.10977280139923096,0.20689524710178375
